epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,386.949,2.01768,3.75833,1.77571,0.32039,0.26153,0.20308,0.08533,2.07246,2.93643,1.7384,0.00333135,0.00333135,0.00333135
2,767.228,1.97146,2.86399,1.70746,0.34374,0.27932,0.2225,0.09484,2.11653,2.70323,1.76911,0.0065987,0.0065987,0.0065987
3,1127.16,2.05318,2.73132,1.78776,0.26445,0.25454,0.16526,0.0673,2.2048,3.02675,1.928,0.00980006,0.00980006,0.00980006
4,1480.35,2.07706,2.67685,1.82522,0.35188,0.2792,0.23677,0.09982,2.12893,2.6607,1.83001,0.009703,0.009703,0.009703
5,1836.53,2.00631,2.54793,1.77753,0.33091,0.31818,0.25561,0.11421,2.02737,2.73313,1.79304,0.009604,0.009604,0.009604
6,2187.74,1.94884,2.44116,1.73802,0.3728,0.34926,0.29058,0.13021,1.99386,2.55437,1.76912,0.009505,0.009505,0.009505
7,2542.21,1.91606,2.36083,1.706,0.43839,0.36479,0.35103,0.16303,1.93401,2.40713,1.69937,0.009406,0.009406,0.009406
8,2897.34,1.88344,2.30768,1.6885,0.40577,0.39462,0.34991,0.16556,1.91288,2.29653,1.70226,0.009307,0.009307,0.009307
9,3249.71,1.85938,2.24657,1.66102,0.47284,0.4003,0.39258,0.19013,1.87018,2.20345,1.66348,0.009208,0.009208,0.009208
10,3602,1.84886,2.21571,1.65337,0.46386,0.40749,0.38498,0.18267,1.86472,2.18401,1.64215,0.009109,0.009109,0.009109
11,3953.98,1.83152,2.17957,1.64429,0.49366,0.41516,0.40863,0.20109,1.8299,2.16047,1.63163,0.00901,0.00901,0.00901
12,4309.05,1.82172,2.15658,1.63439,0.48119,0.4335,0.4097,0.20198,1.82996,2.12077,1.61057,0.008911,0.008911,0.008911
13,4659.47,1.8046,2.1297,1.62298,0.5212,0.42676,0.43285,0.21667,1.80979,2.08417,1.60078,0.008812,0.008812,0.008812
14,5011.75,1.79564,2.10267,1.61013,0.52031,0.44815,0.45618,0.2289,1.79754,2.06668,1.58247,0.008713,0.008713,0.008713
15,5364.97,1.78918,2.08612,1.60407,0.52807,0.4467,0.45738,0.23333,1.79645,2.04071,1.59087,0.008614,0.008614,0.008614
16,5717.25,1.77459,2.05685,1.58858,0.52324,0.46529,0.47365,0.24065,1.78339,2.0067,1.58911,0.008515,0.008515,0.008515
17,6068.94,1.77822,2.05367,1.59258,0.53322,0.45826,0.47351,0.24239,1.76896,2.00718,1.58334,0.008416,0.008416,0.008416
18,6420.61,1.76021,2.01284,1.58034,0.55171,0.4752,0.48796,0.24944,1.75673,1.97256,1.57257,0.008317,0.008317,0.008317
19,6771.23,1.75394,2.00705,1.57332,0.55804,0.4676,0.49021,0.25329,1.74267,1.93606,1.55045,0.008218,0.008218,0.008218
20,7123.91,1.74931,2.0007,1.57356,0.56165,0.47553,0.49855,0.25714,1.72921,1.93954,1.53925,0.008119,0.008119,0.008119
21,7481.28,1.74675,1.98378,1.56798,0.55591,0.48374,0.49788,0.25813,1.73452,1.94333,1.54119,0.00802,0.00802,0.00802
22,7834.52,1.73527,1.96793,1.55835,0.55638,0.48604,0.50815,0.26489,1.72833,1.90554,1.53704,0.007921,0.007921,0.007921
23,8188.48,1.73324,1.959,1.55583,0.57068,0.48566,0.51193,0.26812,1.72858,1.8987,1.54057,0.007822,0.007822,0.007822
24,8543.87,1.73207,1.94327,1.55412,0.57135,0.48116,0.50934,0.26757,1.71107,1.89577,1.52496,0.007723,0.007723,0.007723
