epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.111,1.98408,2.87977,1.74994,0.36191,0.26947,0.22573,0.10389,2.07352,2.90129,1.77957,0.0700179,0.00333135,0.00333135
2,354.204,1.89306,2.28838,1.63176,0.40526,0.3504,0.3171,0.14434,1.99607,2.41779,1.71968,0.0399519,0.0065987,0.0065987
3,521.625,1.99078,2.43544,1.7305,0.36442,0.30722,0.25085,0.10611,2.13971,2.65427,1.87829,0.0098199,0.00980006,0.00980006
4,688.115,2.00274,2.47559,1.7776,0.40158,0.33699,0.30164,0.13142,2.01865,2.49526,1.79389,0.009703,0.009703,0.009703
5,855.15,1.92886,2.33583,1.72481,0.43873,0.38333,0.35447,0.16382,1.93215,2.28143,1.6956,0.009604,0.009604,0.009604
6,1022.54,1.88136,2.22757,1.68156,0.46205,0.40422,0.37732,0.1774,1.9011,2.24187,1.70059,0.009505,0.009505,0.009505
7,1189.91,1.84483,2.15196,1.65727,0.48252,0.42051,0.40292,0.19231,1.8731,2.19741,1.6915,0.009406,0.009406,0.009406
8,1357.05,1.81334,2.09122,1.63793,0.49884,0.44124,0.42991,0.21001,1.84599,2.11778,1.6551,0.009307,0.009307,0.009307
9,1524.87,1.80063,2.0563,1.62456,0.50895,0.45326,0.4465,0.21759,1.81697,2.05301,1.62254,0.009208,0.009208,0.009208
10,1691.52,1.7792,2.01541,1.60803,0.5108,0.45778,0.45541,0.22759,1.78809,2.02165,1.59969,0.009109,0.009109,0.009109
11,1859.21,1.75749,1.97247,1.59033,0.54857,0.47262,0.48658,0.24521,1.7816,1.99131,1.5825,0.00901,0.00901,0.00901
12,2027.6,1.74946,1.9591,1.59088,0.54275,0.486,0.48804,0.24926,1.75658,1.94897,1.57336,0.008911,0.008911,0.008911
13,2193.97,1.72863,1.90927,1.57147,0.57236,0.48091,0.50212,0.25695,1.76109,1.91956,1.57487,0.008812,0.008812,0.008812
14,2360.36,1.71421,1.88613,1.5612,0.57137,0.49728,0.51451,0.26764,1.73669,1.8813,1.56388,0.008713,0.008713,0.008713
15,2527.64,1.70841,1.86759,1.55519,0.5721,0.51351,0.52642,0.27363,1.74287,1.84072,1.56648,0.008614,0.008614,0.008614
16,2695.23,1.69671,1.84461,1.54162,0.56781,0.51354,0.52695,0.27714,1.71664,1.83536,1.54354,0.008515,0.008515,0.008515
17,2864.44,1.68587,1.82169,1.52943,0.57319,0.52578,0.53786,0.28357,1.71338,1.81781,1.52803,0.008416,0.008416,0.008416
18,3032.48,1.67917,1.80888,1.53374,0.59416,0.52185,0.54627,0.28844,1.70727,1.78039,1.53079,0.008317,0.008317,0.008317
19,3200.05,1.6725,1.78883,1.51749,0.60558,0.52199,0.54959,0.29142,1.6907,1.76382,1.51347,0.008218,0.008218,0.008218
20,3368.81,1.66798,1.77311,1.52048,0.5959,0.5311,0.5561,0.2957,1.68299,1.78303,1.50944,0.008119,0.008119,0.008119
21,3536.28,1.66524,1.76153,1.51117,0.60218,0.53042,0.56269,0.30057,1.67391,1.73692,1.50109,0.00802,0.00802,0.00802
22,3703.48,1.6574,1.75235,1.50645,0.60776,0.53112,0.56104,0.30272,1.66448,1.73975,1.49993,0.007921,0.007921,0.007921
23,3870.84,1.64988,1.73098,1.4971,0.61598,0.53402,0.57119,0.30599,1.65518,1.72979,1.48884,0.007822,0.007822,0.007822
24,4038.43,1.64268,1.72324,1.49828,0.61222,0.5476,0.57546,0.31011,1.64911,1.72857,1.4904,0.007723,0.007723,0.007723
25,4206.01,1.6358,1.71089,1.49241,0.62019,0.54481,0.57507,0.30904,1.65724,1.71625,1.49235,0.007624,0.007624,0.007624
26,4373.13,1.62961,1.69384,1.48779,0.62542,0.54742,0.58191,0.31329,1.63927,1.70372,1.48222,0.007525,0.007525,0.007525
27,4540.8,1.62434,1.68985,1.48419,0.61698,0.55634,0.58256,0.31529,1.64106,1.69851,1.48062,0.007426,0.007426,0.007426
28,4711.24,1.62181,1.66656,1.48059,0.62847,0.55019,0.58441,0.316,1.64551,1.69436,1.4819,0.007327,0.007327,0.007327
29,4883.63,1.61469,1.66418,1.47603,0.61721,0.56238,0.58656,0.31786,1.64331,1.67394,1.47914,0.007228,0.007228,0.007228
30,5056.28,1.61129,1.65338,1.46934,0.6161,0.5591,0.58827,0.31957,1.63959,1.66709,1.47437,0.007129,0.007129,0.007129
31,5228.59,1.6116,1.64036,1.46715,0.61869,0.5615,0.5919,0.32182,1.63261,1.66357,1.47017,0.00703,0.00703,0.00703
